职业类型,职业名称,薪资,地址,资历,学历要求,职业类型,职业简介,公司名称,公司规模,公司类型,时间
JAVA工程师,java 架构师,12-22K·13薪,合肥,5-10年,本科,Java,"职位描述
1、 规划和设计系统的技术以及业务架构；
2、 基于用户需求提交系统总体设计方案；
3、 进行系统技术平台的选型和评估新技术的可行性；
4、 制定系统自上而下设计相关的技术接口和规范；
5、 负责子系统设计分解和系统核心代码的编写；
6、 在技术上指导和监督整个团队，参与公司技术路线规划设计。
任职要求
本科以上学历，5年以上软件开发经验，有2年以上软件架构设计经验；
1、 负责技术架构设计、重构、优化，根据业务需求制定应用架构方案； 2、 负责完善基础开发框架、开发标准代码框架和代码库，提升开发团队的开发效率和开发质量； 3、 负责技术难题攻关，协助开发组长解决高并发等性能要求； 4、 负责对开发团队进行技术指导，并组织技术培训提升团队开发技能； 5、 参与审核和评估相关方案与设计，以确保其符合架构规划，满足业务需求； 6、 协助项目经理制定研发计划，控制项目进度。 任职资格： 1、 本科及以上学历，计算机相关专业； 2、 5年以上软件开发经验，2年以上代码级架构师经验，有建筑行业开发经验者优先； 3、 熟悉Spring、SpringMVC、SpringBoot、Mybatis、Redis、Shiro、ElasticSearch等技术，熟悉其实现原理并能够优化改进等； 4、 精通oracle、sqlserver、db2、mysql等主流数据库两种及以上； 5、 具有丰富的框架及架构规划、设计经验，能给团队带来新的理念和视野； 6、 熟悉常用技术和中间件：分库分表技术、消息中间件、分布式框架、搜索技术等； 7、 有较强的业务理解能力、领域建模能力和学习能力； 8、 思路清晰，具备很强的文档撰写能力和良好的语言表达能力； 9、 对新技术有很强的学习热情以及承担对公司研发人员进行技术培训",老乡鸡餐饮,10000人以上,生活服务（O2O）,2024上半年
JAVA工程师,Java 后端开发,3-7K·13薪,温州,经验不限,本科,"Java开发经验
Maven
GIT
NoSQL
中大型项目架构设计经验
MySQL
Redis
MVC开发
Spring
Oracle
计算机/软件工程相关经验","1、计算机软件及相关专业大专学历及以上，JAVA基础扎实，熟悉io、并发、集合等基础框架；
2、熟练使用SpringFramework，Spring MVC，JPA , Shiro和MyBatis等主流的开发框架，包括但不限于Spring Boot；
3、熟练使用Maven、git等工具
4、熟练使用MySQL或Oracle等常用关系型数据库，熟悉主流的NoSQL存储系统，如Redis等
5、有清晰的设计思路和良好的代码习惯，掌握面向对象编程思想，熟悉Javascript开发更佳",圣乔,0-20人,计算机软件,2024上半年
JAVA工程师,java 工程师,15-30K·16薪,南京,经验不限,本科,"Java
JVM
Spring
Hibernate
MySQL
微服务经验","华为 SDN 团队现招聘AI网络算力研发类OD岗位（德科）， 华为SDN ，致力于数据中心业务，与大T、顶尖金融合作，构建智能世界，期待你的加入，有意向私聊。
【工作地】
华为南京研究所、北京研究所，杭州研究所
【工作职责】
1、参与或负责华为数据中心，SDN网络，自动驾驶、AI网络等开发、测试。
2、精通java，python，go一种或多种语言。 熟悉网络知识更佳（测试、UI不做限制）。
3、参与或负责AI、智能计算、网络AI算路相关开发，掌握AI相关基础知识或熟悉相关算法更佳（测试、UI不做限制）。
4，了解 pytorch、volcano、DL、k8s、hccl一种或多种以上尤佳（测试、UI不做限制）。
4、计算机、软件、通信、电子等相关专业本科及以上学历，211/985高校毕业生尤佳，工作年限不限；
【公司福利】
年底4薪；
OD岗位工资待遇比肩华为自研，年终奖丰厚，绩效考核与华为自研同学一起考评；
有夜宵补助、周末加班有双倍工资、每月生日会、活动层出不穷，集体活动丰富；
有机会参与业界前沿技术研究和规划，参与来源运作，与全球专家一起工作、交流。",华为技术有限公司,10000人以上,计算机软件,2024上半年
JAVA工程师,Java 高级研发,12-24K,杭州,3-5年,本科,"Java
不接受居家办公
后端工程师
后端开发
计算机/软件工程相关经验","职位描述
【岗位职责】
1. 负责公司核心系统功能的开发和维护，
2. 制订项目的技术管理、开发管理流程；
3. 制订系统优化与调整方案，监督项目进度，保证开发项目能够按时且高质量的实施；
4. 指导本部门的日常技术开发管理工作，指导、帮助本部门员工的成长，提升本部门员工的技术水平。
【任职要求】
1. 本科及以上学历，计算机相关专业毕业；
2. 3-5年以上java开发经验，具备团队管理经验优先；
3. 精通J2EE应用架构，Web应用架构，SSH开源架构，运用java语言开发，linux下常用命令，Jquery,js等前端技术，Mysql数据库设计及优化，多线程编程技术，开放应用平台设计开发；
4. 有银行、电商等行业背景工作经历，了解金融行业相关知识者优先考虑；
5. 优秀的沟通协调能力，具备责任心及学习能力，一定的创新意识。",浙江极氪智能科技,1000-9999人,4S店/后市场,2024上半年
JAVA工程师,java 后端开发,400-410元/天,杭州,4天/周 3个月,硕士,"后端工程师
Java","2023年11月 ~2024年10月毕业24届海内外优秀毕业生，3~4月内推面试，全年可安排实习，预计9月发放录用意向书，10月左右正式offer。
如果你有这样的硬实力:
国内外知名学院的计算机、软件、电子信息等专业，学习成绩优秀。
熟练掌握流行的编程语言及工具，对数据结构，算法，数据库，操作系统基本原理，计算机体系结构，计算机网络等基础学科掌握扎实。
对某一领域有强烈的好奇心，愿意为此投入更多额外的经历，有实际动手经验，并有一定成果（技术运用到实际场景并解决问题），的或者有重要学术论文发表在国际顶级会议或期刊，或有相关计算机领域专利。
如果你有这样的软实力:
聪明、乐观、皮实、自省
强大的学习能力和抗压能力
自我驱动，自我激励，自我管理的素质
工作地点：部门十分核心，在北京上海杭州都有base
岗位：
研发类：java",蚂蚁集团,10000人以上,互联网,2024上半年
JAVA工程师,Java 项目经理,10-15K,贵阳,3-5年,本科,"服务器配置
架构师
Spring
NoSQL
MySQL
Redis
MongoDB","岗位职责：
1.负责项目全过程管理，包括需求、计划、设计、实施、测试等阶段；
2.负责开发团队的管理工作和需求分析、项目任务分解、人员管理、工作安排、进度管控等；
3.负责风险跟踪与管理工作，及时识别风险并采取有力措施规避风险；
4.负责与客户的沟通与协调，负责调研、统计客户需求，提出合理的技术方案；
5.整理并解决项目执行过程中的各种问题，组织项目成员对问题进行分析和解决；
6.总结并积累项目管理经验，结合团队特点，优化项目管理流程
岗位要求：
1、计算机相关专业，本科以上学历学位；
2、3年以上工作经验，至少有2个从立项到上线的项目的解决方案经验，有中型项目的需求分析与方案设计经验优先；
3、熟练掌握 JAVA语言,，熟悉 spring boot、spring cloud 框架，拥有优秀的架构设计和良好的编码风格；
4、熟悉数据库: mysql、mongodb等,并懂得数据库优化；
5、熟悉中间件: redis、nginx；
6、前端技术有 javascript 基础、并熟悉 vue 或 react 等框架技术的一种",贵州云数联智,20-99人,计算机软件,2024上半年
JAVA工程师,Java 开发,14-18K·13薪,南京,3-5年,本科,"SQL
微服务架构
负载均衡技术
分布式技术
多线程
Hibernate
Struts
Oracle","职位描述：
1. 对业务模块进行需求分析并对需求进行详细设计；
2. 根据需求和设计完成项目代码实现；
3. 参与JAVA系统的技术设计；
4. 系统性能分析优化，业务补充、分析解决bug等。
任职要求：
1.三年左右java开发相关工作经验；
2. 熟练掌握spring, struts2，hibernate，mybatis等java常用开发框架，熟悉spring Boot，有微服务相关开发经验、C/S服务端java开发经验更佳；
3. 熟练掌握mysql或oracle数据库，熟悉SQL调优及函数，存储过程，JOB调度等的编写；
4. 熟悉Linux操作系统基本操作；
5. 具备良好的编码规范和编程风格，逻辑思绪清晰；有大型分布式、多线程、高并发、高负载、高可用性系统开发经验者优先；
6. 具有良好的学习能力，对新事物有兴趣了解，尝试；可承受较大的工作压力，有团队意识和钻研精神。",江苏达科,1000-9999人,通信/网络设备,2024上半年
JAVA工程师,JAVA 开发工程师,9-14K,西安,1-3年,本科,"微服务架构
Spring
Maven
Netty","岗位职责：
1、参与非结构化数据安全的核心功能的设计、开发、单元测试、系统优化，协助解决项目开发过程中的技术难题
2、对多线程相关技术有深刻的理解，对如NETTY框架等有使用经验，能够撰写高质量的开发文档
3、根据公司产品的版本管理规范，完成所负责项目的服务器代码的版本归档、版本变更、版本发布工作
4、负责处理线上版本紧急技术问题，线上版本bug处理
任职资格：
1、全日制本科及以上学历，计算机相关专业
2、精通Java及Web应用开发，至少3年以上J2EE项目开发经验
3、深入理解Spring、Spring Boot、MyBatis等开源框架，深入了解框架的特性
4、熟悉微服务框架与设计
5、熟悉HTTP协议和RESTful规范，有API设计和开发经验
6、熟悉Linux操作系统
7、精通常用设计模式和主流设计工具，能进行系统总体设计
编制：正式员工！非外包！",格尔软件,500-999人,信息安全,2024上半年
JAVA工程师,Java 开发工程师,9-14K,合肥,5-10年,本科,"Java
JavaScript
HTML
CSS
Struts
MySQL
Oracle","职位描述：
1、负责公司内部应用系统日常需求设计、研发和维护；
2、协助完成公司各个项目的软件开发工作；
3、负责数据挖掘、分析、技术攻坚。
任职要求：
1、计算机、信息管理相关专业本科以上学历；
2、熟悉HTML、JAVASCRIPT、CSS、AJAX知识；
3、熟悉JAVA WEB编程技术（JSP、JAVABEAN、STRUTS、HIBERNAT、WEBSERVICE等）；
4、熟悉两种以上数据库系统（ORACLE、MSSQL、MYSQL）；
5、具有TOMCAT、WEBLOGIC、WEBSPHERE、Ngin X 等应用系统开发经验；
6、有团队合作意识，能承受一定的工作压力。",卫宁健康,1000-9999人,计算机软件,2024上半年
JAVA工程师,java 开发工程师,8-13K,西安,3-5年,本科,"Java
大数据经验
分布式经验
微服务经验
SpringCloud
MySQL
MyBatis
Redis
Spring
有前端经验/技能
Python","职位描述：
1、负责产品需求的概要设计、详细设计编写；
2、负责公司产品研发代码的编写及功能实现；
3、负责解决开发中出现的技术问题；
4、协助其它部门解决工作中出现的技术问题；
任职要求：
1、计算机软件工程相关专业，具有5年以上开发经验；
2、精通Java编程，熟悉J2EE开发模式；
3、熟悉Linx/unix、Windows操作系统，能够在其环境上开发部署和调试；
4、熟悉Spring boot、Spring Cloud等微服务框架；
5、有大型项目开发背景及经验；
6、熟悉分布式事务、消息中间件、缓存数据库的应用
7、精通Mysql、Oracle、SqlServer至少一种数据库；
8、有良好的团队意识和协作精神、有较强的沟通能力；",西安世健联健康科技,20-99人,医疗健康,2024上半年
JAVA工程师,Java 研发工程师,12-18K,北京,1-3年,本科,"后端工程师
Java
Spring
MyBatis
Java开发经验
计算机/软件工程相关经验
分布式系统开发经验","工作职责
1、负责商品、交易相关系统的设计和开发工作
2、独立完成中小型项目的系统分析、设计，同时能够主导完成详细设计和编码的任务，确保项目进度和质量
3、理解业务，识别需求，参与架构、系统、分析设计等多领域项目的相关技术的实践、应用和研发
4、主导技术难题攻关，持续提升核心系统的高处理性能，保证系统的安全、稳定、快速运行
5、主要工作领域：小程序、APP开发，包括和各大旅游平台（携程、飞猪、抖音等平台）的对接和接口测试
任职要求：
1、本科或以上学历，计算机软件或相关专业，1 年以上 Java 开发经验，有大型项目开发经验者优先考虑
2、熟悉 Java 基础技术体系， 基础扎实，熟练掌握常用 Java 技术框架，能编写高质量简洁清晰的代码，能够在指导下独立负责新的模块开发
3、理解IO、多线程、集合等基础框架，熟悉Spring、Mybatis等开源框架，对JVM原理有一定的了解
4、良好的面向对象设计理解，掌握设计模式及应用场景，熟悉常见的中间件及分布式技术
5、有基本的系统开发经验，对业务开发有兴趣，具有较强的问题分析和处理能力
6、强烈的责任心和团队合作精神，良好的抗压能力，心态积极，能主动融入团队
7、有 github 作品加分、有O2O行业经验加分",游美华夏,20-99人,旅游,2024上半年
JAVA工程师,JAVA 后端开发--主程,13-20K,杭州,3-5年,本科,"微服务架构
容器技术
Spring
SpringBoot
Redis
MySQL
后端开发","工作职责：
* 公司项目后端研发
职位要求：
* 具有一定后端架构能力；
* 计算机相关专业，本科及以上学历；
* 掌握 SpringBoot、MyBatis 等常规框架技术的应用和原理；
* 掌握 SpringCloud 体系的基本原理和应用，能从 0 设计、构建微服务项目工程；
* 熟悉 MySQL 等关系数据库使用，具有应用系统数据建模能力；
* 具有全局视角，拥有良好的 API 模型的设计能力，保持API消费的合理、便捷；
* 掌握 Redis、MQ、ES等常用技术和服务，能搭建、维护这些IT基础服务；
* 熟悉 Docker 基本原理和应用， 具有k8s搭建、管理、应用的经验；
* 优秀的分析问题和解决问题的能力；
* 强烈的上进心和求知欲，善于学习新事物；
* 具有良好的沟通能力和团队合作精神；
* 理解或掌握商业互联网项目的后端工程建设经验尤佳。
公司提供五险一金、双休、节假日福利、员工旅游、年终奖等福利",君南科技,20-99人,计算机软件,2024上半年
JAVA工程师,JAVA springboot后端开发,4-9K,青岛,3-5年,大专,"分布式技术
MVC开发
Spring
Dubbo
SpringCloud
高级软件工程师
网络交换技术
网络编程","工作职责
?1. 参与系统需求调研与需求分析，并进行相关技术方案讨论及选型；
2. 负责项目技术方案设计与评审、并完成核心代码开发与实现等；
3. 负责系统开发测试、部署和集成及项目相关技术难题攻关；
4. 负责项目系统配置与升级、程序性能监控及优化工作；
任职要求
?1、 本科及以上学历计算机相关专业，要求至少有3年及以上工作经验，薪水依能力而定；
2、 精通Java及相关技术体系结构，熟悉J2EE框架，精通Spring、Springmvc、mybatis等主流开发技术，熟悉设计模式；
3、 精通微服务框架（Spring Cloud，Dubbo/Dubbox等）与微服务的核心理念（进程间通讯、服务注册与发现、负载均衡、熔断等）；
4、 熟悉主流技术框架，精通云后台微服务框架Springboot及Springcloud，对各种开源的框架有深入了解，对框架本身有过开发或重构者优先考虑；
5、 参与过大型复杂分布式系统的实施，能独立承担后台系统设计、开发、调测等任务
6、 有较强的逻辑概率思维能力，善于分析、归纳、描述、沟通、和解决问题；
7、 能独立承担后台系统设计、开发、调测等开发任务
8、 能快速接受和掌握新技术，有较强的独立、主动的学习能力。
9、会ArcGIS或地理信息的优先",青岛友腾信息技术,0-20人,计算机软件,2024上半年
JAVA工程师,JAVA 初级工程师,7-12K,上海,在校/应届,本科,"数据结构
Spring
SpringBoot","岗位描述：
1、在指导下开展编码；
2、根据设计文档、开发规范进行基础性编码工作，修复产品BUG；
3、完成领导交代的其他工作。
任职要求：
1、2022年毕业,最低学历统招本科，211 985优先；
2、扎实的数据结构，数据库基础，网络知识；
3、了解掌握Java语言,熟悉spring，springboot，mybatis等开源框架，有过开发经验优
先；
4、自驱力强，且有较强的逻辑思维能力，善于分析、归纳、解决问题。
职位招聘1-4人",创度软件,20-99人,计算机软件,2024上半年
JAVA工程师,java (银行驻场-出差）,9-13K,泉州,5-10年,本科,"Java
银行","1、Java方向，拥有独立设计开发能力，熟悉SPringMvc架构
2、本科，计算机专业，或软件工程专业等对口专业
3、具备良好的沟通协调能力，抗压能力强，服从工作安排
4、熟练使用Mysql，Oracle等语言，会存储过程，具备SQL调优能力，有ETL等数据开发经验优先
5、有监管报送系统实施开发经验3年及以上
6、能接受项目调动",银丰新融,1000-9999人,计算机软件,2024上半年
JAVA工程师,JAVA 高级工程师,5-10K,丹东,经验不限,学历不限,"Java开发经验
Java
MySQL
MyBatis
后端工程师","JAVA 高级工程师
职位描述：1. 根据现有架构完善业务需求；
2. 根据产品设计的业务模型进行功能设计、数据结构设计并负责实现实施，兼顾系统的稳定性，性能优化改造；
3. 独立承担核心业务代码开发工作，及独立维护业务系统。
任职要求：
1. 计算机相关专业，3-5年工作经验；
2.精通Spring、MyBatis相关技术 ，具有较扎实的java互联网编程经验；
3. 熟练使用mysql、sqlserver等数据库，对mysql数据库的相关知识有较好的理解；
4. 具有大流量、高并发、高性能的分布式系统的研发、维护、调优经验优先；
5. 对JVM有较好的理解，熟练使用Linux操作系统，熟悉Tomcat，Apache，Nginx等开源的服务器的配置和调优；
6. 具有持续集成经验；
7. 熟悉HTML、CSS、JavaScript等前端技术，对HTML5和CSS3有一定的编写能力；
8. 思维敏捷清楚，有创新意识，具有良好的沟通能力和团队协作能力，为人正直，责任心强，具有较强的学习能力，能够在一定压力下工作
经验 3-5年 学历本科
薪资待遇5到10K",育小帮,20-99人,计算机服务,2024上半年
JAVA工程师,Java 高级开发工程师,4-7K,济宁,1-3年,大专,"Java
JavaScript
HTML
Spring
Hibernate
JQuery
Struts
分布式技术","岗位职责： 1、负责项目的需求分析，系统设计工作，承担核心架构的代码编写，负责系统改造和升级； 2、功能研发和维护统一的软件开发架构； 3、指导初级研发工程师，负责其开发相关工作； 4、带领团队进行项目的分析、设计及开发工作，确保项目进度和质量； 5、参与新技术的研究使用以及培训工作。
岗位要求： 1、3 年以上中大型 B/S 项目实际开发经验； 2、java 基础扎实，良好的代码风格，理解 java 反射机制和常用的设计模式，熟悉基于 j2ee 的相关开源技术以及框架（spring,struts2,ibatis，hibernate,jsp，lucence，cxf），熟 练使用 junit(或者其他)进行测试代码的编写； 3、熟悉面向对象分析和设计，并能运用建模工具（uml 建模工具&powerdesigner）进行设 计工作，且能够指导初中级人员进行开发和设计工作； 4、熟悉 xml、html、javascript（jquery）的使用和应用开发以及 ajax 技术； 5、熟练使用 Oracle/Mysql/MsSql；了解基于分布式文件存储的数据库，如 mongdb； 6、熟悉 linux 环境以及操作，svn 的使用，熟悉 tomcat，apache，nginx 等开源的服务器； 7、能够及时关注业界动态和发展方向，能够独立研究并乐于分享技术,同时要有强烈的责任 心、主动性和团队合作精神。",联储云计算有限公司,500-999人,计算机软件,2024上半年
JAVA工程师,Java 后端研发工程师,13-20K,武汉,3-5年,本科,"SQL
消息队列
Spring
Redis
NoSQL
MySQL
Java
Cloud","职责范围：
1、ERP 产品需求分析、系统设计、制定技术解决方案
2、负责公司 ERP 产品迭代维护开发， 客户定制化开发等
3、优化现有服务模块，精简业务流程
任职要求：
1.计算机或相关专业，本科或以上学历，具有3年以上java开发经验
2.熟练Java应用系统技术，包括服务器，中间件，数据库，缓存，存储解决方案，线上运维等
3.熟练掌握JAVA流行开源框架(springboot springcloud mybatis 等)，并且对其中一两个的核心思想、实现原理有一定认知
4.熟悉主流数据库系统MySql，NoSQL存储系统redis,消息队列rabbitmq 等
5.责任心强，思路清晰，工作规范，良好的沟通能力、很强的团队协作精神
6.根据业务需求快速响应并评估相应的技术方案
优先录用
1. 有SaaS ERP 开发经验
2. 有供应链相关开发经验
3. 有钢贸行业背景知识
4. 有明确的目标，强烈上进心，创业思维者
公司介绍
官网： https://www.zallsteel.net/
卓钢链是卓尔智联联合西本新干线和专业经营团队三方合力打造的黑色大宗商品产业互联网集成服务平台",卓钢链,100-499人,电子商务,2024上半年
JAVA工程师,Java 12-20k 乌鲁木齐驻场,12-24K,烟台,3-5年,本科,"后端工程师
Java
计算机/软件工程相关经验
Java开发经验","1、三年以上JAVA开发经验；
2、熟悉J2EE技术架构体系；
3、熟悉Struts、Hibernate、Spring等主流开源框架
4、熟练使用JavaBean、ServLet、Jsp、WebService等开发技术；
5、熟练使用HTML、CSS、JavaScript等客户端开发技术，有Ajax的实际应用开发经验；
6、熟练掌握TomCat、Jboss、WebLogic 等主流应用服务器的配置和使用；
7、熟练使用PowerDesigner 、Rose等建模工具，有实际项目的数据库建模经验；
8、熟练使用Oracle、MySQL 等主流数据库；
9、责任心强，有良好的团队合作意识，善于沟通，能承担工作压力。",山东易缇姆软件科技,20-99人,计算机软件,2024上半年
JAVA工程师,Java Python开发工程师,20-40K,深圳,1-3年,本科,"分布式技术
Dubbo
Python
软件工程师
后端开发
WEB开发
Linux","（1）本科以上，杭州，西安，深圳；
（2）至少熟悉一门语言java，python，go其中一门最好，或者web前端都需要；
（3）java涉及技术栈有dubbo，redis，kafka，zookeeper，elastic job，自研工作流调度引擎等。
（4）云数据库，产品可以在华为云官网搜索数据库进行查看。",华为,10000人以上,计算机软件,2024上半年
